keggid	keggname	spec
KP99981	Carbohydrate metabolism	Rice
KP99982	Energy metabolism	Rice
KP99983	Lipid metabolism	Rice
KP99984	Nucleotide metabolism	Rice
KP99985	Amino acid metabolism	Rice
KP99986	Glycan metabolism	Rice
KP99987	Cofactor metabolism	Rice
KP99988	Secondary metabolism	Rice
KP99999	Others	Rice
KP99973	Transcription	Rice
KP99974	Translation	Rice
KP99975	Protein processing	Rice
KP99976	Replication and repair	Rice
KP99998	Others	Rice
KP99977	Transport	Rice
KP99978	Cell growth	Rice
KP99993	Cell motility	Rice
KP99995	Signaling proteins	Rice
KP99992	Structural proteins	Rice
KP99994	Others	Rice
KP99979	Unclassified viral proteins	Rice
KP99996	General function prediction only	Rice
